keys,en,de,it,es
PLAY,play,spielen,gioca,juega
BALLS,ball,ball,pallina,pelota
LEVELS,levels,levels,livelli,niveles
GO,go,los,vai,vale
SELECT,select,auswählen,seleziona,seleciona
BOUNCE,bounce,aufprall,rimbalzo,rebote
MASS,weight,gewicht,peso,peso
NEXT_LEVEL,level {amount},level {amount},level {amount},level {amount}
REPLAY,replay,nochmal,rigioca,repetir
MENU,menu,menü,menu,menu
BUY,buy,kaufen,compra,compra
FOLLOW,follow,folge,segui,sigue
MORE_GAMES,games,spiele,giochi,juegos
NEXT,next,nächstes,prossimo,próximo
HELP,skip level,level übers.,salta livello,saltar nivel
HELP_INSTRUCTIONS,1. Get a friend's yellow code\n2. Put into red text box\n\nCodes regenerate at midnight!,1. Besorg dir ein gelben Code eines Freundes\n2. Gib ihn ins rote Textfeld ein\n\nCodes werden um Mitternacht erneuert!,1. Ottieni un codice giallo di un amico\n2. Mettilo nella casella di testo rossa\n\nI codici si rigenerano a mezzanotte!,1. Consigue un código amarillo de un amigo\n2. Ponelo en la caja de texto roja\n\nLos códigos se regeneran a medianoche!
PASTE,code,Kode,codice,codigo
